@relation gestures

@attribute wMax numeric
@attribute wMin numeric
@attribute wMean numeric
@attribute wMed numeric
@attribute wVar numeric
@attribute wTVar numeric
@attribute wAUC numeric
@attribute rMax numeric
@attribute rMin numeric
@attribute rMean numeric
@attribute rMed numeric
@attribute rVar numeric
@attribute rTVar numeric
@attribute rAUC numeric
@attribute cMax numeric
@attribute cMin numeric
@attribute cMean numeric
@attribute cMed numeric
@attribute cVar numeric
@attribute cTVar numeric
@attribute cAUC numeric
@attribute label {notouch, constant, rub, pat, scratch, stroke,tickle}

@data
231,14,88.69444444,78,3630.849688,2358,9579,7.419354839,4.075,5.60711915,5.531436012,0.47625746,54.72263173,605.5688682,7.56097561,2.75862069,5.60467008,5.612895005,0.626749278,89.11801754,605.3043686,stroke
254,12,95.28703704,79,4198.281326,2340,10291,7.086956522,3.277777778,5.710078174,5.754166667,0.54762399,72.11283368,616.6884428,7.846153846,3.052631579,5.662647393,5.641169978,0.653969168,92.15876673,611.5659184,stroke
280,11,85.61111111,51.5,4732.127726,2526,9246,7.017391304,4.055555556,5.632211251,5.658843662,0.435097634,64.70138548,608.2788152,7.95,3.821428571,5.761091123,5.792986632,0.828967893,107.3021613,622.1978413,stroke
296,12,102.5648148,68,6471.089218,2489,11077,7.6875,3.5,5.67597629,5.77124183,0.38427433,61.9877655,613.0054393,8.538461538,3.368421053,5.811086232,5.766918213,0.864394756,116.364098,627.5973131,stroke
133,9,43.14814815,41,464.0899965,1926,4660,7.96,3.238095238,5.895692061,5.961901306,0.565087257,87.23374016,636.7347425,7.8,3.125,5.79156491,5.814336918,0.850994139,121.1077609,625.4890103,tickle
114,7,47.00925926,43,469.0186051,1885,5077,7.65,2.714285714,5.559206274,5.627705628,0.599944926,98.67728839,600.3942776,8.35,3.673469388,5.849768292,5.807637571,0.8650916,116.5870949,631.7749755,tickle
157,9,49.05555556,45,602.5389408,2403,5298,7.34375,3.5,5.788560437,5.826398852,0.489651393,87.01140512,625.1645272,8.185185185,3.666666667,5.937178842,5.902564103,0.75348002,117.8586617,641.2153149,tickle
116,10,49.52777778,43.5,569.7842679,2312,5349,7.275862069,3.466666667,5.915073099,5.993670886,0.561823608,89.44510322,638.8278947,8.761904762,3.25,5.581909623,5.719649123,1.030355453,127.8329467,602.8462393,tickle
2942,2807,2885.925926,2890.5,1058.218761,1497,311680,5.920706371,5.857491289,5.88188938,5.881425965,0.000127551,0.989588997,635.244053,5.464838256,5.36094466,5.414194725,5.416121276,0.000588386,1.780983127,584.7330303,constant
3036,2880,2927.027778,2921.5,938.8496885,1730,316119,5.916695002,5.855625622,5.893146904,5.895296815,0.000175852,1.119990172,636.4598656,5.405322416,5.288170564,5.371629551,5.377426485,0.000435784,1.344161316,580.1359915,constant
3424,2866,3080.268519,3050,16018.23564,3426,332669,5.959988318,5.823039556,5.865785168,5.860618372,0.00076106,1.640442868,633.5047981,5.426153846,5.237682165,5.333267099,5.33070947,0.001807622,2.352540275,575.9928467,constant
3535,3007,3229.064815,3190.5,18260.34155,4754,348739,6.129611167,5.9090618,5.981168522,5.968447906,0.002270816,1.925845101,645.9662004,5.562898551,5.34319348,5.427839824,5.418456754,0.001995902,3.751695453,586.206701,constant
